timestamp,esgScore,governanceScore,environmentScore,socialScore,symbol
2023-09-01,18.87,10.61,0.65,7.62,HNR1
2021-01-01,11.48,5.29,0.85,5.34,ZAL
2021-02-01,11.48,5.29,0.85,5.34,ZAL
2021-03-01,11.48,5.29,0.85,5.34,ZAL
2021-05-01,11.48,5.29,0.85,5.34,ZAL
2021-09-01,11.86,5.29,1.23,5.34,ZAL
2022-02-01,13.85,4.9,1.93,7.02,ZAL
2022-05-01,13.85,4.9,1.93,7.02,ZAL
2022-08-01,13.85,4.9,1.93,7.02,ZAL
2023-01-01,13.49,5.11,2.31,6.09,ZAL
2023-09-01,12.81,4.88,2.0,5.93,ZAL
2021-01-01,18.1,9.51,0.41,8.18,MUV2
2021-02-01,18.1,9.51,0.41,8.18,MUV2
2021-03-01,18.36,8.33,0.41,9.61,MUV2
2021-05-01,18.36,8.33,0.41,9.61,MUV2
2022-02-01,18.31,8.19,0.41,9.7,MUV2
2022-05-01,18.31,8.19,0.41,9.7,MUV2
2022-08-01,17.71,7.59,0.41,9.7,MUV2
2023-09-01,15.06,7.03,0.38,7.65,MUV2
2021-01-01,15.69,4.95,3.79,6.94,DPW
2021-02-01,15.69,4.95,3.79,6.94,DPW
2021-03-01,15.69,4.95,3.79,6.94,DPW
2021-05-01,15.69,4.95,3.79,6.94,DPW
2021-09-01,15.68,4.97,3.96,6.75,DPW
2022-02-01,15.52,4.9,3.96,6.66,DPW
2022-05-01,15.12,4.81,3.96,6.35,DPW
2022-08-01,15.12,4.81,3.96,6.35,DPW
2021-01-01,28.58,8.64,13.23,6.71,BAS
2021-02-01,28.58,8.64,13.23,6.71,BAS
2021-03-01,28.58,8.64,13.23,6.71,BAS
2021-05-01,28.72,8.64,13.62,6.46,BAS
2021-09-01,25.76,8.9,11.25,5.61,BAS
2022-02-01,25.59,8.73,11.25,5.61,BAS
2022-05-01,24.71,8.0,11.25,5.46,BAS
2022-08-01,28.11,8.38,12.82,6.9,BAS
2023-09-01,25.09,5.88,12.42,6.79,BAS
2021-01-01,13.81,7.25,1.45,5.11,DB1
2021-02-01,13.81,7.25,1.45,5.11,DB1
2021-03-01,13.81,7.25,1.45,5.11,DB1
2021-05-01,13.81,7.25,1.45,5.11,DB1
2021-09-01,13.67,7.25,1.45,4.97,DB1
2022-02-01,14.01,7.82,1.7,4.5,DB1
2022-05-01,13.52,7.33,1.7,4.5,DB1
2022-08-01,13.52,7.33,1.7,4.5,DB1
2023-01-01,12.22,6.0,1.66,4.57,DB1
2023-09-01,12.01,6.01,1.66,4.34,DB1
2021-01-01,20.18,5.81,7.6,6.76,BNR
2021-02-01,20.18,5.81,7.6,6.76,BNR
2021-03-01,20.18,5.81,7.6,6.76,BNR
2021-05-01,20.18,5.81,7.6,6.76,BNR
2021-09-01,14.53,5.36,3.7,5.48,BNR
2022-02-01,14.73,5.43,3.7,5.59,BNR
2022-05-01,14.73,5.43,3.7,5.59,BNR
2022-08-01,14.73,5.43,3.7,5.59,BNR
2023-01-01,16.1,5.24,5.4,5.47,BNR
2023-09-01,15.95,5.24,5.25,5.47,BNR
